"","nama","harga","seller","terjual","link","waktu.scrape"
"622","EVOO FOR KIDS (EXTRA VIRGIN OLIVE OIL)","Rp70.000","bumbuorganik","Terjual 71 Produk","https://www.tokopedia.com/bumbu-organik/evoo-for-kids-extra-virgin-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D18_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"623","Extra Virgin Olive Oil 250ml","Rp53.000","Kebun Kita","Terjual 122 Produk","https://www.tokopedia.com/kebunkita/extra-virgin-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D19_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"624","MINYAK ZAITUN RS 500ML | EXTRA VIRGIN OLIVE OIL","Rp97.500","Mulus Herbal","Terjual 79 Produk","https://www.tokopedia.com/mulusherbal/minyak-zaitun-rs-500ml-extra-virgin-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D20_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"625","Bertolli 100% Extra Light Tasting Olive Oil - 1 Liter","Rp175.000","House Of Organix","Terjual 106 Produk","https://www.tokopedia.com/houseoforganix/bertolli-100-extra-light-tasting-olive-oil-1-liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D21_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"626","Bertolli Extra Light Olive Oil 250ml","Rp47.500","ceva","Terjual 67 Produk","https://www.tokopedia.com/cevaphilia/bertolli-extra-light-olive-oil-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D22_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"627","Bertolli Extra Virgin Olive Oil - 500 ml","Rp95.000","Genki Plant","Terjual 69 Produk","https://www.tokopedia.com/genkiplant/bertolli-extra-virgin-olive-oil-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D23_catid%3D1162_bmexp%3D11&whid=0",2020-09-05 10:46:15
"628","Minyak Zaitun Extra Virgin Olive Oil","Rp55.000","Andrie Gallery","Terjual 341 Produk","https://www.tokopedia.com/andriegallery/minyak-zaitun-extra-virgin-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D24_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"629","Bertolli Extra Light Olive Oil 500ml - Minyak Zaitun","Rp88.900","TheOnlineGrocer","Terjual 130 Produk","https://www.tokopedia.com/theonlinegrocer/bertolli-extra-light-olive-oil-500ml-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D25_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"630","POMACE OLIVE OIL (1/2 liter)","Rp45.000","HEANSA KIMIA","Terjual 90 Produk","https://www.tokopedia.com/heansakimia/pomace-olive-oil-12-liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D29_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"631","Minyak Zaitun Extra Virgin Olive Oil Al Ghuroba 1 Liter Alghuroba","Rp117.500","Edogawa experience","Terjual 107 Produk","https://www.tokopedia.com/edogawa1/minyak-zaitun-extra-virgin-olive-oil-al-ghuroba-1-liter-alghuroba?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D30_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"632","Minyak Zaitun le riche 300ml - leriche 300ml olive oil","Rp33.000","Lapak Al Mabruroh","Terjual 249 Produk","https://www.tokopedia.com/lapakalmabrur/minyak-zaitun-le-riche-300ml-leriche-300ml-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D32_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"633","Pomace Olive Oil / Minyak Zaitun Pomace (1 L)","Rp91.850","Cipta Kimia","Terjual 291 Produk","https://www.tokopedia.com/ciptakimia/pomace-olive-oil-minyak-zaitun-pomace-1-l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D33_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"634","Cesar Pomace Olive Oil 5 Liter","Rp335.000","Herbal Gayatri","Terjual 184 Produk","https://www.tokopedia.com/herbal-gayatri/cesar-pomace-olive-oil-5-liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D34_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"635","BERTOLLI EXTRA LIGHT OLIVE OIL 3L","Rp388.000","MOMOGO ID","Terjual 214 Produk","https://www.tokopedia.com/momogoid/bertolli-extra-light-olive-oil-3l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D36_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"636","BERTOLLI EXTRA LIGHT OLIVE OIL 500ML (MINYAK ZAITUN EKSTRA LIGHT)","Rp82.500","PD LARIS","Terjual 181 Produk","https://www.tokopedia.com/pdlaris/bertolli-extra-light-olive-oil-500ml-minyak-zaitun-ekstra-light?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D37_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"637","Extra Virgin Olive Oil 500ml | Minyak Zaitun Murni | La Rambla EVOO - non bubble wrap","Rp102.000","Baby Koala","Terjual 93 Produk","https://www.tokopedia.com/babykoalajakarta/extra-virgin-olive-oil-500ml-minyak-zaitun-murni-la-rambla-evoo-non-bubble-wrap?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D41_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"638","MINYAK ZAITUN - EXTRA VIRGIN OLIVE OIL ""RS"" 500ml","Rp82.000","Distributor Herbal Jkt","Terjual 231 Produk","https://www.tokopedia.com/suplierherbal/minyak-zaitun-extra-virgin-olive-oil-rs-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D42_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"639","Bertolli Extra Virgin Olive Oil 250 ML | Minyak Zaitun Bertolli 250ML","Rp59.000","The Spices House","Terjual 106 Produk","https://www.tokopedia.com/thespiceshouse/bertolli-extra-virgin-olive-oil-250-ml-minyak-zaitun-bertolli-250ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D43_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"640","Borges Extra Light Olive Oil 250 ml","Rp52.650","FingerLand","Terjual 103 Produk","https://www.tokopedia.com/finger-land/borges-extra-light-olive-oil-250-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D44_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"641","Minyak Zaitun Al-Amir Ekstra Virgin Olive Oil 175 ML","Rp40.400","amanah kurma","Terjual 179 Produk","https://www.tokopedia.com/agenkurma/minyak-zaitun-al-amir-ekstra-virgin-olive-oil-175-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D45_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"642","Minyak Zaitun Olive Oil 1Liter Asli Tanpa Campuran","Rp99.000","herbalasli","Terjual 64 Produk","https://www.tokopedia.com/herbalasli-shop/minyak-zaitun-olive-oil-1liter-asli-tanpa-campuran?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D47_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"643","Minyak Zaitun Le Riche 300ml - Leriche 300ml Olive Oil","Rp31.500","Amanah Herbal Surabaya","Terjual 121 Produk","https://www.tokopedia.com/amanahherbalsby/minyak-zaitun-le-riche-300ml-leriche-300ml-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D48_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"644","Bertolli Extra Virgin Olive Oil 500ml - Minyak Zaitun","Rp89.900","TheOnlineGrocer","Terjual 70 Produk","https://www.tokopedia.com/theonlinegrocer/bertolli-extra-virgin-olive-oil-500ml-minyak-zaitun?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D49_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"645","Minyak Bertolli Extra Virgin olive oil/ EVOO / 500ml","Rp85.000","secondition","Terjual 48 Produk","https://www.tokopedia.com/secondition/minyak-bertolli-extra-virgin-olive-oil-evoo-500ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D50_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"646","Minyak Zaitun Olive Oil 1liter","Rp99.000","herbalasli","Terjual 78 Produk","https://www.tokopedia.com/herbalasli-shop/minyak-zaitun-olive-oil-1liter?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D52_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"647","BORGES Pure Olive Oil Minyak Zaitun with Garlic [500 mL]","Rp94.500","FingerLand","Terjual 140 Produk","https://www.tokopedia.com/finger-land/borges-pure-olive-oil-minyak-zaitun-with-garlic-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D53_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"648","Minyak Zaitun Al Amir Extra Virgin Olive Oil 500 ml","Rp77.000","harga grosir 01","Terjual 78 Produk","https://www.tokopedia.com/tokohebalmurah/minyak-zaitun-al-amir-extra-virgin-olive-oil-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D54_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"649","BERTOLLI EXTRA LIGHT OLIVE OIL 2L","Rp276.000","MOMOGO ID","Terjual 104 Produk","https://www.tokopedia.com/momogoid/bertolli-extra-light-olive-oil-2l?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D55_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"650","MINYAK ZAITUN BORGES SYBARIS EXTRA VIRGIN OLIVE OIL 500 ML","Rp149.500","Ajyad Shop","Terjual 30 Produk","https://www.tokopedia.com/ajyadshop/minyak-zaitun-borges-sybaris-extra-virgin-olive-oil-500-ml?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D56_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"651","Sambal Bawang Tradisional ""Primarasa"" lebih sehat dengan olive oil","Rp27.500","fre's shop","Terjual 325 Produk","https://www.tokopedia.com/fre-shop/sambal-bawang-tradisional-primarasa-lebih-sehat-dengan-olive-oil?trkid=f%3DCa1159L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D4_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D58_catid%3D1165_bmexp%3D11&whid=0",2020-09-05 10:46:15
"652","Minyak kelapa VOC virgin coconut olive oil nahlussyifa 100 ml","Rp55.000","Surya Jaya Cemerlang","Terjual 828 Produk","https://www.tokopedia.com/suryajaya57/minyak-kelapa-voc-virgin-coconut-olive-oil-nahlussyifa-100-ml?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D1_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"653","Minyak Zaitun RS extra virgin olive oil 1liter","Rp137.500","Dehace Jakarta","Terjual 76 Produk","https://www.tokopedia.com/dehace/minyak-zaitun-rs-extra-virgin-olive-oil-1liter?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D3_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"654","Bertolli Classico Olive Oil 250 ML / Minyak Zaitun Minyak Goreng Halal","Rp44.000","Food Republic","Terjual 140 Produk","https://www.tokopedia.com/foodrepublic/bertolli-classico-olive-oil-250-ml-minyak-zaitun-minyak-goreng-halal?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D4_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"655","MINYAK ZAITUN EXTRA VIRGIN OLIVE OIL ORKIDE 500 ML","Rp100.000","almadini Herbal","Terjual 55 Produk","https://www.tokopedia.com/almadiniherbal/minyak-zaitun-extra-virgin-olive-oil-orkide-500-ml?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D6_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"656","Minyak Zaitun Extra Virgin Olive Oil | Zaitun Oil","Rp18.500","istanaherbalsby","Terjual 172 Produk","https://www.tokopedia.com/istana-herbalsby/minyak-zaitun-extra-virgin-olive-oil-zaitun-oil?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D7_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"657","Minyak Zaitun Olive Oil no ekstra virgin 1 liter","Rp99.000","TerasHerbal SOLO","Terjual 88 Produk","https://www.tokopedia.com/terasherbal/minyak-zaitun-olive-oil-no-ekstra-virgin-1-liter?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D8_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"658","Organic Extra Virgin Olive Oil Casa Di Oliva","Rp312.000","Yubyre","Terjual 178 Produk","https://www.tokopedia.com/yourbeautystore/organic-extra-virgin-olive-oil-casa-di-oliva?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D9_catid%3D469_bmexp%3D11&whid=0",2020-09-05 10:46:15
"659","Borges Extra Virgin Olive Oil 500ml","Rp95.000","Kebun Kita","Terjual 141 Produk","https://www.tokopedia.com/kebunkita/borges-extra-virgin-olive-oil-500ml?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D10_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"660","BORGES EXTRA LIGHT OLIVE OIL 1L","Rp149.000","BestCMart","Terjual 87 Produk","https://www.tokopedia.com/bestcmart/borges-extra-light-olive-oil-1l?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D13_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"661","1 Liter - Minyak Zaitun Borges Extra Virgin Olive Oil 1000 ml - TANPA BUBBLE","Rp149.000","Mulia Shop","Terjual 63 Produk","https://www.tokopedia.com/muliashop/1-liter-minyak-zaitun-borges-extra-virgin-olive-oil-1000-ml-tanpa-bubble?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D14_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"662","Filippo Berio Pure Olive Oil 3 Liter/Minyak Zaitun Murni Filipo Berio","Rp355.000","Sukses Organic Shop","Terjual 85 Produk","https://www.tokopedia.com/suksesorganik/filippo-berio-pure-olive-oil-3-liter-minyak-zaitun-murni-filipo-berio?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D15_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"663","Extra Virgin Olive Oil / Minyak Zaitun Murni 5 LTR Olio Luglio Halal","Rp490.000","Food Republic","Terjual 63 Produk","https://www.tokopedia.com/foodrepublic/extra-virgin-olive-oil-minyak-zaitun-murni-5-ltr-olio-luglio-halal?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D16_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"664","BERTOLLI EXTRA VIRGIN OLIVE OIL 3L","Rp399.000","MOMOGO ID","Terjual 120 Produk","https://www.tokopedia.com/momogoid/bertolli-extra-virgin-olive-oil-3l?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D17_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"665","BERTOLLI Extra Virgin Olive Oil Spray 145ml","Rp58.000","JFM26","Terjual 133 Produk","https://www.tokopedia.com/jfm26/bertolli-extra-virgin-olive-oil-spray-145ml?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D18_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"666","Minyak Zaitun Rumman Extra Virgin Olive Oil 80ml | Minyak Zaitun Spain","Rp12.500","Lapak Barokah","Terjual 134 Produk","https://www.tokopedia.com/lapakbarokah/minyak-zaitun-rumman-extra-virgin-olive-oil-80ml-minyak-zaitun-spain?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D19_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"667","BERTOLLI EXTRA VIRGIN OLIVE OIL 250ML (MINYAK ZAITUN EKSTRA VIRGIN)","Rp47.000","PD LARIS","Terjual 60 Produk","https://www.tokopedia.com/pdlaris/bertolli-extra-virgin-olive-oil-250ml-minyak-zaitun-ekstra-virgin?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D21_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"668","Minyak Zaitun Extra Virgin Olive Oil Borges 5000ml 5000 ml 5 liter","Rp479.999","TokoSurabaya","Terjual 80 Produk","https://www.tokopedia.com/tokosurabayaa/minyak-zaitun-extra-virgin-olive-oil-borges-5000ml-5000-ml-5-liter?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D22_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"669","SESA - Pure Olive Oil - 1 L","Rp109.900","SESA Official","Terjual 121 Produk","https://www.tokopedia.com/sesaofficial/sesa-pure-olive-oil-1-l?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D23_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"670","Minyak Zaitun Extra Virgin Olive Oil Al Ghuroba 60 ml","Rp13.000","Edogawa experience","Terjual 251 Produk","https://www.tokopedia.com/edogawa1/minyak-zaitun-extra-virgin-olive-oil-al-ghuroba-60-ml?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D24_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"671","Borges Extra Virgin Olive Oil 1 Liter","Rp179.000","Kebun Kita","Terjual 107 Produk","https://www.tokopedia.com/kebunkita/borges-extra-virgin-olive-oil-1-liter?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D25_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"672","Minyak Zaitun Olive Oil bukan Extra Virgin 1 Liter","Rp99.500","jendela herbal","Terjual 84 Produk","https://www.tokopedia.com/hilyaolshop/minyak-zaitun-olive-oil-bukan-extra-virgin-1-liter?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D27_catid%3D2289_bmexp%3D11&whid=0",2020-09-05 10:46:15
"673","Bertolli Extra Light Olive Oil 3 LTR Minyak Goreng Sehat Best Seller","Rp410.000","Food Republic","Terjual 147 Produk","https://www.tokopedia.com/foodrepublic/bertolli-extra-light-olive-oil-3-ltr-minyak-goreng-sehat-best-seller?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D28_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"674","Olive oil bertolli extra light 3 liter original","Rp388.000","Ampunmurahnya","Terjual 180 Produk","https://www.tokopedia.com/ampunmurahnya/olive-oil-bertolli-extra-light-3-liter-original?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D30_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"675","Olive oil filippo berio 3 liter","Rp280.000","Ampunmurahnya","Terjual 194 Produk","https://www.tokopedia.com/ampunmurahnya/olive-oil-filippo-berio-3-liter?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D31_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"676","MUELOLIVA Extra Virgin Olive Oil 1 Ltr","Rp109.000","Toko57","Terjual 188 Produk","https://www.tokopedia.com/toko-57/mueloliva-extra-virgin-olive-oil-1-ltr?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D32_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"677","[SYB] OLIVE Kemiri Oil ~ Minyak Kemiri ~ Menyuburkan & Memanjangkan","Rp19.500","Rumah Cantik Sandy","Terjual 413 Produk","https://www.tokopedia.com/rumahcantiksandy/syb-olive-kemiri-oil-minyak-kemiri-menyuburkan-memanjangkan?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D33_catid%3D2529_bmexp%3D11&whid=0",2020-09-05 10:46:15
"678","Borges Extra Virgin Olive Oil Minyak Zaitun [2 L]","Rp361.250","FingerLand","Terjual 63 Produk","https://www.tokopedia.com/finger-land/borges-extra-virgin-olive-oil-minyak-zaitun-2-l?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D36_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"679","Minyak Zaitun BORGES Extra Virgin Olive Oil 125 ml","Rp25.500","Amanah Herbal Surabaya","Terjual 127 Produk","https://www.tokopedia.com/amanahherbalsby/minyak-zaitun-borges-extra-virgin-olive-oil-125-ml?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D37_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
"680","Geofoods Tartufo Nero White Truffle Olive Oil","Rp250.000","Live4Toys","Terjual 395 Produk","https://www.tokopedia.com/live4toys/geofoods-tartufo-nero-white-truffle-olive-oil?trkid=f%3DCa2495L000P0W0S0Sh%2CCo0Po0Fr0Cb0_src%3Dsearch_page%3D5_ob%3D5_q%3Dolive+oil_bmexp%3D11_po%3D38_catid%3D1160_bmexp%3D11&whid=0",2020-09-05 10:46:15
